game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,game6home,game6away,game6isHome,game7home,game7away,game7isHome,game8home,game8away,game8isHome,game9home,game9away,game9isHome,game10home,game10away,game10isHome,home_team_id,home_scored_avg,home_conceded_avg,away_team_id,away_scored_avg,away_conceded_avg
0,3,0,1,2,0,3,2,0,5,3,0,5,2,0,2,3,0,4,2,0,4,3,0,3,5,1,3,1,1,28,2.71,2.99,17,3.193548387096774,2.89247311827957
3,0,1,5,6,0,0,5,1,5,2,0,1,0,0,2,4,1,1,3,1,3,2,0,1,5,0,3,2,1,9,3.231707317073171,2.8780487804878048,10,2.817073170731707,3.1219512195121952
0,5,1,3,1,0,0,2,1,7,5,1,2,4,0,2,4,0,3,5,0,2,1,0,2,8,0,2,0,1,22,2.9878048780487805,2.475609756097561,3,2.8275862068965516,2.735632183908046
3,4,0,2,3,1,3,2,0,5,0,1,1,2,0,1,4,0,2,4,0,3,4,0,0,6,0,4,3,0,12,2.8780487804878048,2.6219512195121952,15,3.1473684210526316,2.294736842105263
5,4,0,3,0,1,2,1,0,3,2,1,8,2,0,3,4,1,3,4,0,4,3,0,3,2,1,2,1,0,16,3.1219512195121952,2.792682926829268,9,2.6951219512195124,3.548780487804878
2,3,0,4,5,0,1,2,0,5,0,1,0,5,1,3,2,0,3,2,0,5,2,1,3,2,0,4,2,0,4,2.806451612903226,3.096774193548387,13,2.3780487804878048,2.792682926829268
3,2,0,5,1,0,1,2,0,3,2,1,3,6,0,5,0,0,2,4,0,3,2,1,4,1,0,1,3,0,1,2.548780487804878,2.1219512195121952,12,2.8780487804878048,2.9146341463414633
3,4,0,1,2,1,6,5,0,4,6,1,2,5,0,6,3,0,0,6,0,3,4,0,3,2,1,3,0,0,13,2.7195121951219514,2.5121951219512195,20,2.881720430107527,2.6774193548387095
2,3,1,2,5,1,3,2,1,2,4,1,3,4,1,5,3,0,2,5,0,2,3,0,1,3,0,3,2,0,17,3.1097560975609757,2.6463414634146343,28,3.0652173913043477,2.7717391304347827
2,4,1,4,5,0,8,1,1,5,1,1,3,5,0,6,3,0,1,2,0,8,1,1,4,2,1,1,4,0,5,2.4339622641509435,3.0,14,2.7777777777777777,2.4343434343434343
0,2,0,2,3,0,2,3,0,6,3,1,0,5,1,2,4,0,4,2,1,2,3,0,2,3,0,1,4,1,12,2.7560975609756095,2.4146341463414633,1,2.2439024390243905,2.5365853658536586
6,4,0,1,5,0,1,2,1,7,3,0,4,1,1,3,2,1,2,5,0,4,0,0,2,1,0,4,2,1,9,2.853932584269663,2.943820224719101,14,2.8658536585365852,3.426829268292683
2,3,0,2,0,0,2,0,1,5,2,1,4,1,0,1,2,0,0,3,1,3,1,0,3,2,1,4,8,0,26,2.425287356321839,2.7126436781609193,22,2.475609756097561,2.9878048780487805
4,3,0,4,5,0,2,4,0,2,3,1,4,1,1,4,7,0,3,2,1,3,4,1,3,2,0,2,1,0,25,3.1951219512195124,2.7195121951219514,20,2.7325581395348837,2.7325581395348837
0,6,0,0,5,0,3,1,0,3,4,0,2,3,1,3,0,0,5,1,1,0,5,1,7,2,1,4,1,0,15,2.7083333333333335,2.6145833333333335,1,2.707547169811321,2.518867924528302
3,5,0,3,4,1,1,2,0,3,4,0,1,4,0,0,4,0,4,8,0,1,4,1,5,8,0,2,1,1,52,2.627906976744186,2.7790697674418605,5,2.632183908045977,2.5402298850574714
4,3,0,4,5,0,8,1,1,5,1,1,3,5,0,6,3,0,1,2,0,8,1,1,4,2,1,1,4,0,5,2.852272727272727,3.5,14,2.8658536585365852,3.426829268292683
2,5,0,2,0,0,6,7,1,7,3,0,3,0,1,1,2,0,2,4,0,3,6,0,4,3,1,3,4,0,9,3.0121951219512195,2.8780487804878048,29,2.6707317073170733,3.073170731707317
5,6,1,0,7,0,2,1,1,5,4,1,3,5,0,2,4,1,6,4,0,0,3,0,5,1,0,1,3,0,52,2.6262626262626263,3.3333333333333335,18,3.2421052631578946,2.663157894736842
1,3,0,6,2,0,1,4,1,2,3,1,6,3,0,3,2,1,1,0,0,3,2,1,4,1,0,0,1,0,3,2.364485981308411,2.635514018691589,7,1.9146341463414633,3.024390243902439
1,5,0,1,2,0,3,2,0,3,2,0,4,7,1,5,3,0,5,2,1,2,1,0,2,4,1,1,3,1,5,2.852272727272727,3.5,6,3.191011235955056,2.449438202247191
3,4,0,5,4,0,3,2,1,1,2,0,3,4,1,1,0,1,0,3,0,3,0,0,4,1,0,6,1,1,3,2.3069306930693068,2.9405940594059405,13,2.5121951219512195,2.7195121951219514
3,2,0,5,0,0,2,4,0,3,5,0,2,3,0,1,4,1,2,3,1,1,6,1,1,5,1,2,4,0,21,2.926829268292683,2.6341463414634148,18,2.6979166666666665,2.6875
1,6,1,3,4,0,3,0,0,1,3,1,6,3,1,4,1,1,2,3,0,5,4,1,2,3,1,2,5,0,16,2.722772277227723,3.217821782178218,18,2.6341463414634148,2.951219512195122
2,3,0,1,3,0,2,8,0,2,1,0,5,2,1,1,4,1,3,4,0,5,0,0,3,2,1,4,7,1,26,2.5,2.451219512195122,17,2.524390243902439,2.975609756097561
3,2,0,2,6,1,3,2,1,1,7,1,1,2,1,3,2,0,2,3,0,2,1,1,1,5,0,1,4,0,9,3.231707317073171,2.8780487804878048,8,2.686868686868687,2.525252525252525
3,5,0,5,0,0,4,3,1,4,5,0,2,5,0,3,2,1,4,3,0,5,6,1,1,0,1,2,3,0,10,3.2195121951219514,2.817073170731707,5,3.5,2.852272727272727
1,2,0,4,0,0,2,3,1,0,4,1,2,1,0,4,2,0,0,5,1,2,4,0,2,3,1,2,3,0,22,2.9878048780487805,2.475609756097561,24,2.651685393258427,2.3146067415730336
3,7,0,5,7,0,0,3,0,5,6,0,5,2,0,6,2,0,5,4,0,4,5,1,3,2,0,0,0,1,25,2.9583333333333335,2.7083333333333335,2,2.888888888888889,3.037037037037037
7,4,0,4,1,1,2,3,1,5,2,1,3,4,1,5,1,0,5,2,0,5,2,1,4,1,1,4,3,0,16,2.897727272727273,2.9545454545454546,29,2.4634146341463414,3.1951219512195124
3,4,0,2,1,1,4,1,0,3,6,0,1,2,0,3,2,0,5,2,1,1,0,0,2,3,1,3,4,0,27,2.8372093023255816,2.802325581395349,25,2.768292682926829,2.841463414634146
3,2,0,1,7,0,4,1,1,6,4,0,5,0,0,1,4,0,2,3,0,1,2,1,1,3,1,4,3,1,26,2.5,2.682926829268293,21,2.6707317073170733,2.768292682926829
1,3,0,2,5,0,3,4,1,2,4,1,2,1,1,2,5,0,5,4,0,4,2,0,1,3,0,1,3,1,30,2.4782608695652173,2.7717391304347827,16,2.8380952380952382,2.3714285714285714
2,3,0,2,1,0,0,4,1,4,5,1,3,2,0,3,4,0,5,4,0,4,5,0,4,2,1,3,4,0,17,2.975609756097561,2.524390243902439,10,3.034090909090909,2.9545454545454546
2,3,0,3,5,0,1,4,0,5,6,0,1,3,0,2,1,0,1,4,0,0,0,1,0,0,1,0,0,1,25,2.841463414634146,2.768292682926829,10,2.658536585365854,3.0609756097560976
