game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,game6home,game6away,game6isHome,game7home,game7away,game7isHome,game8home,game8away,game8isHome,game9home,game9away,game9isHome,game10home,game10away,game10isHome,home_team_id,home_scored_avg,home_conceded_avg,away_team_id,away_scored_avg,away_conceded_avg
6,1,1,3,6,0,1,2,0,1,2,1,3,5,0,4,2,0,2,3,1,4,3,1,3,4,1,3,4,0,3,2.6595744680851063,3.0851063829787235,14,2.8536585365853657,2.768292682926829
3,2,0,5,3,0,0,4,0,2,1,1,2,1,0,3,2,0,0,3,1,3,6,0,2,3,1,3,2,0,28,2.71,2.99,29,2.6219512195121952,3.1463414634146343
5,2,1,5,3,1,3,2,1,2,3,0,1,6,0,2,5,0,4,7,0,4,1,0,1,5,0,1,4,1,21,3.3902439024390243,2.024390243902439,52,3.0365853658536586,3.1219512195121952
3,2,1,6,4,0,3,2,0,3,2,0,3,2,1,4,6,1,4,2,0,1,2,1,2,4,0,2,1,0,4,2.8536585365853657,2.6219512195121952,5,2.632183908045977,2.5402298850574714
4,3,1,2,1,0,3,1,1,3,0,0,3,2,0,6,0,1,1,0,1,3,2,0,4,2,1,3,4,0,23,2.413793103448276,2.954022988505747,21,2.5365853658536586,2.682926829268293
5,8,0,5,2,0,2,1,1,4,3,0,6,3,1,2,3,0,3,4,1,1,0,0,0,4,0,4,3,1,28,2.7717391304347827,3.0652173913043477,20,2.658536585365854,3.024390243902439
3,4,0,4,3,1,2,3,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,15,2.6545454545454548,2.9272727272727272,27,2.6041666666666665,2.7291666666666665
1,2,0,0,6,1,3,4,0,1,5,0,5,4,0,2,3,0,3,1,0,4,1,1,2,1,0,0,0,1,8,2.525252525252525,2.686868686868687,26,2.7222222222222223,2.259259259259259
3,4,0,6,4,1,2,0,0,2,3,1,3,2,0,3,2,0,2,1,0,6,5,0,5,1,1,1,2,0,5,2.4339622641509435,3.0,22,2.475609756097561,2.9878048780487805
3,4,0,5,6,0,3,2,1,7,0,1,6,3,0,3,5,1,2,1,0,1,4,1,6,0,0,1,4,0,3,2.235294117647059,2.6372549019607843,15,2.6145833333333335,2.7083333333333335
1,8,0,3,0,0,4,3,1,4,3,0,3,2,1,1,3,1,1,2,0,0,3,0,6,4,1,4,1,0,12,3.1219512195121952,2.7804878048780486,10,3.337078651685393,2.9213483146067416
4,3,0,4,5,1,1,4,0,5,1,1,4,3,0,3,4,0,3,5,1,3,2,1,2,4,0,7,1,1,17,3.1097560975609757,2.6463414634146343,52,3.3333333333333335,2.6262626262626263
1,3,0,2,5,0,3,4,1,2,4,1,2,1,1,2,5,0,5,4,0,4,2,0,1,3,0,1,3,1,30,2.7169811320754715,2.4339622641509435,16,3.084507042253521,2.112676056338028
4,7,0,4,5,1,2,3,0,3,1,0,2,1,0,6,3,1,6,5,0,0,2,1,2,4,1,1,2,0,6,2.5795454545454546,2.8068181818181817,28,2.6704545454545454,2.4204545454545454
2,3,0,1,4,0,2,5,0,0,4,0,1,2,0,3,1,0,5,2,1,2,3,0,2,1,0,0,0,1,20,2.8902439024390243,3.048780487804878,10,2.658536585365854,3.0609756097560976
3,2,1,0,2,1,5,2,1,1,7,0,1,0,0,2,4,1,3,1,0,1,0,1,4,3,0,1,4,1,30,2.7169811320754715,2.4339622641509435,21,2.4166666666666665,3.1666666666666665
0,6,0,0,5,0,3,1,0,3,4,0,2,3,1,3,0,0,5,1,1,0,5,1,7,2,1,4,1,0,15,2.40625,2.8125,1,2.207317073170732,2.6341463414634148
1,3,0,1,4,0,5,3,1,1,2,0,3,4,0,0,4,1,5,2,1,0,4,0,0,1,1,0,3,0,30,2.7169811320754715,2.4339622641509435,25,2.7083333333333335,2.9583333333333335
6,3,0,2,1,0,3,2,0,2,1,1,5,3,0,4,7,0,6,2,0,1,2,0,4,1,0,3,0,0,6,2.2285714285714286,2.8,29,2.5,2.4791666666666665
6,3,0,4,2,0,1,2,1,0,1,1,5,6,0,3,2,1,0,4,0,4,1,1,2,4,0,3,2,1,4,3.0795454545454546,3.022727272727273,18,3.2421052631578946,2.663157894736842
1,4,0,5,1,0,0,4,0,5,4,0,2,6,0,5,2,0,4,0,0,5,6,0,3,6,0,4,3,1,16,2.722772277227723,3.217821782178218,52,2.768292682926829,2.8902439024390243
4,2,0,0,2,0,5,3,0,3,2,0,1,3,1,1,2,0,1,2,1,4,1,1,3,2,0,2,5,0,26,2.477272727272727,2.715909090909091,24,2.9431818181818183,2.9204545454545454
2,3,0,4,2,0,5,4,0,1,2,0,5,4,0,3,1,0,2,4,0,2,3,1,3,2,0,4,3,1,29,3.1463414634146343,2.6219512195121952,30,2.5121951219512195,2.841463414634146
2,3,0,4,6,0,1,2,1,3,1,0,7,6,1,3,4,1,3,2,0,0,3,0,0,5,0,4,2,1,25,2.9583333333333335,2.7083333333333335,21,2.4166666666666665,3.1666666666666665
