game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,game6home,game6away,game6isHome,game7home,game7away,game7isHome,game8home,game8away,game8isHome,game9home,game9away,game9isHome,game10home,game10away,game10isHome,home_perc,away_perc
5,2,1,3,4,1,3,1,1,3,0,1,1,2,1,5,4,0,6,4,0,2,1,0,6,1,0,4,3,0,0.9117647058823529,0.9230769230769231
0,3,1,3,0,1,5,2,1,4,2,1,4,5,1,3,0,0,5,2,0,4,1,0,1,2,0,4,5,0,0.8787878787878788,0.84375
4,3,1,2,6,1,4,3,1,3,2,1,4,1,1,3,2,0,1,4,0,4,2,0,5,1,0,2,4,0,0.9230769230769231,0.9722222222222222
6,2,1,4,3,1,0,1,1,2,3,1,3,4,1,2,3,0,2,4,0,2,3,0,4,3,0,0,1,0,1.0,0.8666666666666667
4,3,1,2,4,1,3,2,1,6,1,1,3,1,1,3,1,0,6,3,0,6,2,0,2,4,0,3,1,0,0.896551724137931,0.967741935483871
2,1,1,3,2,1,1,3,1,7,3,1,0,4,1,4,3,0,4,3,0,3,1,0,1,2,0,6,3,0,0.8529411764705882,0.8181818181818182
2,1,1,4,0,1,2,4,1,2,3,1,5,2,1,6,1,0,5,0,0,4,2,0,1,2,0,7,5,0,0.825,0.9333333333333333
0,3,1,5,3,1,2,4,1,4,3,1,0,6,1,2,3,0,2,1,0,2,3,0,3,5,0,6,4,0,0.8717948717948718,0.8
6,0,1,7,1,1,2,4,1,5,4,1,1,2,1,0,3,0,4,3,0,2,6,0,3,2,0,4,3,0,0.8666666666666667,0.9090909090909091
4,3,1,2,3,1,3,6,1,6,3,1,6,3,1,1,2,0,6,5,0,3,1,0,1,6,0,0,3,0,1.0,0.8928571428571429
2,5,1,4,1,1,6,2,1,4,3,1,2,4,1,2,3,0,5,1,0,3,1,0,4,3,0,4,2,0,0.8260869565217391,0.8571428571428571
2,3,1,2,3,1,4,3,1,4,2,1,3,5,1,4,3,0,0,3,0,0,5,0,2,3,0,3,4,0,0.8695652173913043,0.9069767441860465
4,3,1,2,3,1,1,2,1,3,0,1,4,1,1,4,1,0,1,4,0,4,0,0,4,2,0,5,2,0,0.8947368421052632,0.9473684210526315
4,3,1,2,4,1,1,0,1,0,3,1,3,2,1,3,2,0,0,2,0,0,3,0,4,1,0,4,3,0,0.7894736842105263,0.9310344827586207
5,3,1,3,4,1,4,6,1,1,4,1,3,0,1,2,7,0,2,3,0,4,3,0,5,1,0,4,1,0,0.8620689655172413,1.0
3,2,1,3,4,1,2,5,1,2,3,1,4,0,1,2,3,0,1,4,0,4,3,0,3,4,0,0,1,0,1.0,1.0
2,5,1,3,2,1,0,3,1,2,1,1,3,4,1,0,4,0,7,2,0,2,3,0,5,4,0,4,3,0,0.8518518518518519,0.8709677419354839
4,0,1,7,1,1,3,0,1,3,4,1,2,3,1,5,1,0,2,1,0,3,2,0,3,4,0,5,4,0,0.8,0.875
4,3,1,3,2,1,2,1,1,4,2,1,3,1,1,4,3,0,0,4,0,2,1,0,2,4,0,4,2,0,0.9166666666666666,0.9583333333333334
4,2,1,4,3,1,1,2,1,6,3,1,1,3,1,1,4,0,2,1,0,4,1,0,3,2,0,4,3,0,0.8666666666666667,0.85
2,1,1,3,4,1,4,0,1,0,3,1,2,5,1,5,2,0,7,5,0,4,3,0,0,3,0,4,1,0,0.8928571428571429,0.7142857142857143
3,4,1,6,7,1,2,3,1,2,3,1,3,2,1,2,6,0,3,4,0,1,2,0,2,3,0,4,7,0,0.8974358974358975,0.9166666666666666
4,3,1,1,5,1,2,6,1,4,3,1,2,5,1,5,1,0,1,4,0,0,6,0,4,3,0,2,4,0,0.9393939393939394,0.8888888888888888
3,4,1,2,4,1,1,4,1,2,0,1,5,3,1,1,3,0,6,4,0,5,1,0,1,2,0,3,5,0,0.8928571428571429,0.90625
8,2,1,3,2,1,4,0,1,3,0,1,3,2,1,4,1,0,4,2,0,2,5,0,3,6,0,3,2,0,0.9512195121951219,0.92
4,5,1,2,5,1,1,3,1,1,2,1,3,4,1,5,3,0,1,4,0,6,0,0,3,4,0,4,2,0,0.84,0.8888888888888888
1,2,1,1,4,1,0,2,1,6,7,1,4,3,1,5,3,0,2,3,0,2,4,0,2,3,0,4,3,0,0.7894736842105263,0.9
4,3,1,4,3,1,1,4,1,0,1,1,0,2,1,1,0,0,6,4,0,4,6,0,1,3,0,3,1,0,0.8888888888888888,0.9
3,0,1,4,3,1,4,5,1,3,2,1,4,3,1,1,2,0,2,1,0,3,2,0,2,4,0,6,3,0,0.8787878787878788,0.9032258064516129
5,4,1,2,1,1,1,3,1,0,2,1,1,2,1,0,1,0,3,4,0,4,0,0,3,2,0,1,5,0,0.9736842105263158,0.8947368421052632
0,1,1,3,4,1,4,3,1,4,5,1,5,3,1,5,0,0,1,3,0,4,3,0,7,3,0,3,1,0,0.9473684210526315,0.896551724137931
4,2,1,3,5,1,4,3,1,3,4,1,2,3,1,1,0,0,3,7,0,3,5,0,1,2,0,4,1,0,0.8823529411764706,0.9210526315789473
2,1,1,3,2,1,4,2,1,3,5,1,3,1,1,1,7,0,5,6,0,2,3,0,4,5,0,4,2,0,0.9117647058823529,0.96875
4,5,1,3,2,1,0,4,1,2,0,1,4,0,1,3,0,0,4,3,0,1,2,0,7,2,0,2,5,0,0.9444444444444444,1.0
1,4,1,1,2,1,1,0,1,2,1,1,5,1,1,3,2,0,3,2,0,3,2,0,2,3,0,2,3,0,0.9393939393939394,0.9565217391304348
1,2,1,0,3,1,1,2,1,4,1,1,4,2,1,3,0,0,1,6,0,2,6,0,3,4,0,1,2,0,0.9615384615384616,0.9354838709677419
3,2,1,4,2,1,1,5,1,4,1,1,4,1,1,2,3,0,8,3,0,4,1,0,3,2,0,3,1,0,0.8695652173913043,0.96875
1,4,1,6,0,1,1,0,1,7,4,1,3,2,1,0,1,0,1,0,0,2,4,0,1,2,0,3,2,0,0.9,0.9285714285714286
5,1,1,6,3,1,1,4,1,5,4,1,3,5,1,2,1,0,3,5,0,3,2,0,2,5,0,3,2,0,0.8928571428571429,0.8214285714285714
