game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,game6home,game6away,game6isHome,game7home,game7away,game7isHome,game8home,game8away,game8isHome,game9home,game9away,game9isHome,game10home,game10away,game10isHome,home_team_id,home_scored_avg,home_conceded_avg,away_team_id,away_scored_avg,away_conceded_avg
1,3,1,5,4,0,0,3,0,0,2,0,0,5,1,1,4,0,5,4,0,2,0,1,3,2,1,5,6,0,10,2.9213483146067416,3.337078651685393,8,2.548780487804878,3.2195121951219514
5,3,0,4,2,0,1,3,1,2,3,0,3,2,0,5,3,1,1,4,1,5,3,1,4,3,0,1,4,0,15,2.830188679245283,3.2547169811320753,6,3.3085106382978724,2.6702127659574466
2,1,0,5,2,1,7,2,1,4,2,1,2,4,0,0,3,1,5,2,0,3,2,1,6,5,1,1,4,0,17,3.1097560975609757,2.6463414634146343,29,2.9545454545454546,2.8863636363636362
4,5,1,0,3,0,1,2,1,2,3,0,2,8,1,4,3,0,4,3,1,7,8,0,2,3,0,1,2,1,9,3.548780487804878,2.6951219512195124,16,2.792682926829268,3.1219512195121952
3,2,0,7,2,0,2,3,0,2,3,0,5,1,0,3,4,1,4,3,0,5,1,1,1,3,1,3,2,1,23,3.2195121951219514,2.658536585365854,20,2.658536585365854,3.024390243902439
2,5,1,1,2,0,3,4,0,4,2,0,7,2,1,3,2,1,3,4,1,4,2,0,1,0,0,2,1,0,12,3.1219512195121952,2.7804878048780486,2,3.2195121951219514,3.6097560975609757
2,5,1,1,3,0,4,2,0,2,1,1,7,6,1,3,2,1,2,6,0,3,4,1,3,4,0,6,0,1,7,3.4146341463414633,2.426829268292683,6,3.3085106382978724,2.6702127659574466
3,1,0,4,3,0,2,3,1,4,2,1,2,3,1,0,1,0,5,2,1,2,3,1,2,6,0,3,4,0,28,2.7717391304347827,3.0652173913043477,24,2.7790697674418605,2.697674418604651
2,3,0,2,5,0,3,5,0,3,0,1,4,3,1,4,2,1,2,1,0,4,3,0,2,1,0,3,0,1,3,3.268292682926829,2.817073170731707,18,3.2421052631578946,2.663157894736842
1,2,0,2,1,0,4,3,1,0,3,0,2,3,1,2,1,0,1,3,1,0,1,0,3,2,0,0,1,1,5,3.021276595744681,3.3404255319148937,15,3.2547169811320753,2.830188679245283
1,4,1,3,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,54,2.696078431372549,3.2254901960784315,4,3.022727272727273,3.0795454545454546
2,0,0,2,5,0,7,1,1,0,1,1,4,2,0,1,3,1,0,1,0,3,4,1,4,1,0,3,1,0,21,2.9431818181818183,3.090909090909091,30,3.0114942528735633,2.8505747126436782
5,2,1,5,4,0,3,2,1,4,1,0,3,6,0,1,3,0,4,1,1,3,1,1,3,2,0,2,3,0,25,2.7439024390243905,2.8658536585365852,53,2.5365853658536586,3.1219512195121952
