game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,home_team_id,home_scored_avg,home_conceded_avg,away_team_id,away_scored_avg,away_conceded_avg
0,2,0,1,4,0,5,4,0,3,2,1,5,6,0,10,3.0609756097560976,2.658536585365854,8,2.6179775280898876,2.539325842696629
1,2,1,3,0,0,2,1,0,6,0,0,6,5,0,6,2.317757009345794,3.05607476635514,4,3.096774193548387,2.806451612903226
1,4,0,2,3,0,1,3,0,5,2,1,1,2,0,24,2.9204545454545454,2.9431818181818183,3,2.7701149425287355,2.425287356321839
4,2,0,3,5,0,3,1,0,4,3,1,1,6,0,25,2.841463414634146,2.768292682926829,16,3.146067415730337,2.707865168539326
6,4,0,2,1,1,3,1,0,1,2,0,2,4,1,1,2.548780487804878,2.1219512195121952,4,3.096774193548387,2.806451612903226
4,3,0,5,4,1,2,5,0,5,4,0,1,3,0,21,3.5121951219512195,2.768292682926829,17,3.193548387096774,2.89247311827957
4,3,0,1,4,1,5,1,1,2,4,0,2,1,0,2,3.2195121951219514,2.792682926829268,13,2.3780487804878048,2.792682926829268
4,1,0,4,6,0,4,1,1,2,1,0,3,2,0,2,3.2195121951219514,2.792682926829268,30,2.5121951219512195,2.841463414634146
3,2,0,3,4,0,1,2,0,1,3,0,1,5,0,22,3.2804878048780486,2.3536585365853657,5,2.831460674157303,2.4831460674157304
3,6,0,2,0,0,6,2,0,3,6,0,6,2,0,6,2.317757009345794,3.05607476635514,21,2.768292682926829,3.5121951219512195
0,3,0,2,3,1,2,5,0,0,1,1,3,2,0,25,2.841463414634146,2.768292682926829,27,2.802325581395349,2.8372093023255816
2,4,0,2,1,0,6,3,0,3,0,0,1,3,0,1,2.548780487804878,2.1219512195121952,26,2.715909090909091,2.477272727272727
2,1,0,4,1,1,3,2,0,1,4,0,4,2,1,30,2.841463414634146,2.5121951219512195,22,2.3536585365853657,3.2804878048780486
2,1,0,4,3,0,4,6,0,2,4,0,5,4,1,17,2.89247311827957,3.193548387096774,23,2.9906542056074765,2.3738317757009346
3,2,0,1,0,1,2,5,0,3,2,0,6,2,1,24,2.9204545454545454,2.9431818181818183,28,2.99,2.71
3,1,1,0,2,0,3,2,1,3,2,0,5,3,0,15,2.4285714285714284,2.7142857142857144,9,2.341463414634146,3.048780487804878
0,1,0,2,4,0,3,4,0,5,2,1,3,5,0,15,2.4285714285714284,2.7142857142857144,13,2.3780487804878048,2.792682926829268
1,2,0,0,2,1,3,2,0,2,1,0,4,3,0,8,2.539325842696629,2.6179775280898876,7,2.955056179775281,2.8202247191011236
4,0,0,2,3,1,6,2,0,1,3,0,6,3,0,22,3.2804878048780486,2.3536585365853657,18,2.6808510638297873,2.425531914893617
6,1,1,6,2,0,5,4,0,5,3,1,0,4,0,20,2.8902439024390243,3.048780487804878,22,2.3536585365853657,3.2804878048780486
2,3,0,3,4,0,5,3,0,1,2,0,0,1,0,23,2.3738317757009346,2.9906542056074765,3,2.7701149425287355,2.425287356321839
6,2,1,4,3,0,3,2,0,2,4,0,1,2,0,13,2.792682926829268,2.3780487804878048,7,2.955056179775281,2.8202247191011236
2,3,0,1,2,0,4,3,0,0,3,1,2,3,1,5,2.4831460674157304,2.831460674157303,8,2.6179775280898876,2.539325842696629
1,4,0,5,2,0,3,4,0,2,4,0,1,2,0,22,3.2804878048780486,2.3536585365853657,30,2.5121951219512195,2.841463414634146
6,3,1,2,0,0,1,0,0,3,4,0,2,3,0,27,2.8372093023255816,2.802325581395349,26,2.715909090909091,2.477272727272727
5,4,0,4,3,1,7,5,1,4,0,0,1,2,0,21,3.5121951219512195,2.768292682926829,16,3.146067415730337,2.707865168539326
1,0,0,3,1,1,3,2,0,3,5,0,3,2,1,20,2.8902439024390243,3.048780487804878,18,2.6808510638297873,2.425531914893617
2,4,0,4,7,1,3,1,1,4,3,0,2,1,0,14,2.85,3.06,7,2.955056179775281,2.8202247191011236
0,1,0,0,2,0,4,2,1,1,2,0,4,3,1,24,2.9204545454545454,2.9431818181818183,25,2.768292682926829,2.841463414634146
2,4,0,2,4,0,3,5,0,2,1,0,2,8,0,22,3.2804878048780486,2.3536585365853657,3,2.7701149425287355,2.425287356321839
5,3,0,3,1,1,1,2,0,3,4,1,3,1,1,26,2.477272727272727,2.715909090909091,25,2.768292682926829,2.841463414634146
4,0,0,2,4,0,3,2,0,2,3,0,1,3,1,8,2.539325842696629,2.6179775280898876,13,2.3780487804878048,2.792682926829268
