game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,home_perc,away_perc,home_team_id,away_team_id,home_scored_avg,home_conceded_avg,away_scored_avg,away_conceded_avg
0,2,0,1,4,0,5,4,0,3,2,1,5,6,0,0.9088029681197867,0.9153994131483233,10,8,2.682926829268293,2.902439024390244,2.5348837209302326,2.6511627906976742
1,2,1,3,0,0,2,1,0,6,0,0,6,5,0,0.936409593169266,0.9105037399268155,6,4,3.1481481481481484,2.1666666666666665,3.0,2.840909090909091
2,3,0,2,4,0,5,4,0,4,3,0,3,4,0,0.9051528409034574,0.9256263821897421,26,3,2.772727272727273,2.5454545454545454,2.4523809523809526,2.357142857142857
4,3,0,2,1,0,1,2,0,2,0,0,7,5,0,0.9018331036865679,0.895012716162554,17,9,3.1956521739130435,3.0869565217391304,2.3333333333333335,3.2564102564102564
4,0,1,4,3,0,1,4,0,3,4,1,5,2,0,0.8958661530249513,0.9200741853846511,29,18,2.658536585365854,3.073170731707317,2.5,2.4545454545454546
4,5,0,5,2,0,0,4,0,3,2,0,1,3,0,0.9277973293509125,0.9111761757935312,23,5,3.018181818181818,2.2,2.7804878048780486,2.5853658536585367
4,3,0,1,5,0,2,4,1,3,4,0,2,6,1,0.9133188382412974,0.9006387678270957,12,14,3.073170731707317,2.7804878048780486,2.723404255319149,3.0851063829787235
0,1,0,3,1,0,4,2,0,2,0,0,5,2,1,0.9144675104996942,0.9094450604180427,7,24,2.977272727272727,2.727272727272727,2.731707317073171,3.048780487804878
1,3,0,8,1,1,4,3,0,1,6,0,4,5,0,0.936409593169266,0.9006387678270957,6,14,3.1481481481481484,2.1666666666666665,2.723404255319149,3.0851063829787235
3,6,0,1,2,0,4,2,0,3,4,0,2,4,0,0.9051528409034574,0.908379442274901,26,7,2.772727272727273,2.5454545454545454,2.9285714285714284,2.9761904761904763
4,2,0,3,5,0,3,1,0,4,3,1,1,6,0,0.9216716764099712,0.9125353815587164,25,16,2.8536585365853657,2.4634146341463414,3.0,2.7857142857142856
2,3,1,5,1,1,2,3,0,2,6,0,2,4,0,0.9088029681197867,0.895012716162554,10,9,2.682926829268293,2.902439024390244,2.3333333333333335,3.2564102564102564
1,4,0,2,3,0,1,3,0,5,2,1,1,2,0,0.9116211891448734,0.9256263821897421,24,3,3.090909090909091,2.75,2.4523809523809526,2.357142857142857
6,4,0,2,1,1,3,1,0,1,2,0,2,4,1,0.8983034907965562,0.9105037399268155,1,4,2.292682926829268,2.4634146341463414,3.0,2.840909090909091
0,5,0,3,2,0,0,5,0,1,2,0,2,5,0,0.9225077827199251,0.9074455292607161,15,12,2.9347826086956523,2.369565217391304,2.5405405405405403,3.1621621621621623
4,3,0,5,4,1,2,5,0,5,4,0,1,3,0,0.8878523623242403,0.9145147527437448,21,17,2.926829268292683,3.658536585365854,3.1666666666666665,2.642857142857143
3,1,1,4,1,1,5,3,1,0,0,1,0,0,1,0.9100223378027068,0.9163000987654392,28,27,3.0,2.54,2.744186046511628,2.883720930232558
