game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,home_perc,away_perc,home_team_id,away_team_id,home_scored_avg,home_conceded_avg,away_scored_avg,away_conceded_avg,home_win,away_win
1,2,0,4,1,0,1,4,1,3,0,1,4,3,1,0.9241694674156672,0.8987525799241199,18,17,3.4,2.4,2.7,3.2,6,4
2,3,0,3,4,0,1,4,1,3,6,0,3,5,0,0.9148781842967992,0.9190521642700892,53,52,2.6,3.1,3.3,3.8,5,4
3,4,0,2,4,0,3,4,0,4,3,1,2,3,0,0.9239382063473544,0.9035937286450384,3,26,2.9,2.2,3.3,2.9,7,5
5,2,1,7,2,0,1,5,0,2,1,1,3,0,1,0.9085415303560878,0.9161567016547978,2,26,3.2,3.8,3.3,2.2,4,8
0,4,1,2,3,0,1,0,0,3,1,0,1,6,0,0.9286117011721494,0.897423612976881,24,53,2.6,3.3,2.4,3.0,5,4
2,5,0,2,1,0,1,0,0,3,1,0,3,4,0,0.9126307901254914,0.9043717908340564,19,14,2.2,2.3,3.2,2.8,5,7
0,1,1,3,1,0,2,5,0,2,1,1,3,2,0,0.9291246774084536,0.9161567016547978,5,26,4.1,2.7,3.1,2.8,7,6
1,3,1,3,1,1,5,2,1,2,4,0,1,4,0,0.9130675882992386,0.9225435622706852,1,5,1.7,3.0,3.1,2.8,2,6
4,2,0,5,3,0,3,2,0,1,2,0,2,3,1,0.9207271026591402,0.898380174612937,15,21,2.1,3.0,2.9,2.4,3,6
2,0,0,6,5,0,4,5,0,6,7,1,2,1,0,0.9122286255173754,0.9118731006754244,24,15,2.7,2.9,3.0,3.2,5,5
3,2,1,2,1,0,2,6,0,1,3,0,4,2,0,0.9099384734250452,0.8988728234637169,10,7,2.0,3.4,2.4,1.9,1,4
5,3,1,3,6,1,0,3,0,4,1,0,3,1,0,0.8932264657088962,0.8952684259619136,2,5,2.2,2.3,2.5,2.3,6,5
4,5,1,3,1,0,3,4,0,5,7,0,2,4,0,0.9047159473419688,0.8937428131056742,16,21,3.3,2.4,2.8,2.2,6,8
1,0,0,3,2,0,2,1,0,4,3,0,3,2,0,0.9099608676995512,0.9149948585954778,19,52,2.8,2.7,3.3,2.2,5,7
6,2,1,3,0,1,3,1,0,4,2,1,4,5,0,0.9057668776412304,0.9107419983765438,17,22,3.4,2.5,2.9,3.6,6,4
1,4,0,3,2,1,5,4,1,3,5,0,2,3,0,0.9148083825741584,0.9009654022652572,5,12,2.7,3.3,3.0,2.1,4,7
1,4,0,3,4,0,4,1,0,2,3,1,1,2,0,0.9037397079787902,0.9269185347698828,20,3,2.9,3.1,2.3,2.9,6,3
4,3,0,2,4,0,2,1,0,6,3,1,1,2,0,0.8846947679385518,0.8921630071344029,20,1,3.0,3.0,2.5,2.9,5,4
3,5,1,2,1,0,1,4,1,6,0,0,1,4,0,0.9015806116256816,0.9094217473069596,3,15,3.3,3.4,3.3,2.8,4,7
2,4,0,4,2,1,3,4,0,5,2,1,3,5,0,0.9199755836700012,0.9124582120446364,15,13,4.1,2.6,2.9,2.3,7,6
0,2,0,3,2,0,0,7,0,4,1,1,2,5,1,0.9248649447850572,0.9142779951988452,4,3,2.0,2.8,3.1,3.1,4,6
