game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,game6home,game6away,game6isHome,game7home,game7away,game7isHome,game8home,game8away,game8isHome,game9home,game9away,game9isHome,game10home,game10away,game10isHome,home_perc,away_perc
2,1,1,3,2,1,5,2,1,5,0,1,4,3,1,2,1,0,3,2,0,5,2,0,5,0,0,4,3,0,0.9130434782608695,0.8709677419354839
0,2,1,6,4,1,2,1,1,7,4,1,5,2,1,0,2,0,6,4,0,2,1,0,7,4,0,5,2,0,0.9333333333333333,0.9473684210526315
1,2,1,6,3,1,2,3,1,2,4,1,3,2,1,1,2,0,6,3,0,2,3,0,2,4,0,3,2,0,0.9534883720930233,0.8636363636363636
3,4,1,3,4,1,3,4,1,3,1,1,2,3,1,3,4,0,3,4,0,3,4,0,3,1,0,2,3,0,0.8636363636363636,0.8620689655172413
2,3,1,4,1,1,5,2,1,2,3,1,4,3,1,2,3,0,4,1,0,5,2,0,2,3,0,4,3,0,0.926829268292683,0.9285714285714286
3,4,1,2,3,1,3,4,1,4,3,1,3,2,1,3,4,0,2,3,0,3,4,0,4,3,0,3,2,0,0.9523809523809523,0.896551724137931
1,2,1,2,1,1,4,1,1,3,5,1,3,4,1,1,2,0,2,1,0,4,1,0,3,5,0,3,4,0,0.925,0.7916666666666666
0,3,1,5,3,1,2,4,1,4,3,1,0,6,1,0,3,0,5,3,0,2,4,0,4,3,0,0,6,0,0.90625,0.8787878787878788
3,0,1,1,2,1,3,1,1,4,1,1,3,4,1,3,0,0,1,2,0,3,1,0,4,1,0,3,4,0,0.9375,0.8125
3,2,1,3,0,1,2,3,1,8,1,1,1,5,1,3,2,0,3,0,0,2,3,0,8,1,0,1,5,0,0.9333333333333333,1.0
0,3,1,4,2,1,2,3,1,1,2,1,1,4,1,0,3,0,4,2,0,2,3,0,1,2,0,1,4,0,0.9230769230769231,0.9583333333333334
1,4,1,1,3,1,5,1,1,7,4,1,4,2,1,1,4,0,1,3,0,5,1,0,7,4,0,4,2,0,0.8823529411764706,0.9032258064516129
2,1,1,1,4,1,4,3,1,1,5,1,6,4,1,2,1,0,1,4,0,4,3,0,1,5,0,6,4,0,0.868421052631579,0.9032258064516129
5,4,1,4,2,1,2,3,1,3,0,1,3,1,1,5,4,0,4,2,0,2,3,0,3,0,0,3,1,0,0.8857142857142857,0.8918918918918919
5,2,1,1,4,1,4,2,1,1,3,1,3,4,1,5,2,0,1,4,0,4,2,0,1,3,0,3,4,0,0.9032258064516129,0.85
6,1,1,4,3,1,3,4,1,3,1,1,2,1,1,6,1,0,4,3,0,3,4,0,3,1,0,2,1,0,0.7586206896551724,0.8928571428571429
1,4,1,1,2,1,3,2,1,2,5,1,4,2,1,1,4,0,1,2,0,3,2,0,2,5,0,4,2,0,0.9428571428571428,0.9210526315789473
3,4,1,6,3,1,0,4,1,0,1,1,4,3,1,3,4,0,6,3,0,0,4,0,0,1,0,4,3,0,0.8918918918918919,0.8636363636363636
5,1,1,7,8,1,3,2,1,2,3,1,0,3,1,5,1,0,7,8,0,3,2,0,2,3,0,0,3,0,0.8787878787878788,0.8846153846153846
2,4,1,2,5,1,3,4,1,3,4,1,0,6,1,2,4,0,2,5,0,3,4,0,3,4,0,0,6,0,0.975609756097561,1.0
0,3,1,4,2,1,4,2,1,3,0,1,2,1,1,0,3,0,4,2,0,4,2,0,3,0,0,2,1,0,1.0,0.8421052631578947
4,1,1,2,1,1,2,3,1,3,7,1,3,2,1,4,1,0,2,1,0,2,3,0,3,7,0,3,2,0,0.9722222222222222,0.8
3,2,1,2,3,1,2,1,1,2,3,1,1,4,1,3,2,0,2,3,0,2,1,0,2,3,0,1,4,0,0.8695652173913043,0.9393939393939394
3,2,1,0,2,1,4,2,1,3,2,1,4,2,1,3,2,0,0,2,0,4,2,0,3,2,0,4,2,0,0.8928571428571429,0.9333333333333333
1,2,1,5,2,1,1,2,1,5,2,1,3,4,1,1,2,0,5,2,0,1,2,0,5,2,0,3,4,0,0.9090909090909091,0.875
1,2,1,0,5,1,1,3,1,4,3,1,3,4,1,1,2,0,0,5,0,1,3,0,4,3,0,3,4,0,0.84,0.9428571428571428
4,3,1,2,4,1,2,3,1,6,1,1,0,1,1,4,3,0,2,4,0,2,3,0,6,1,0,0,1,0,0.875,0.9230769230769231
2,0,1,5,3,1,0,4,1,0,3,1,3,2,1,2,0,0,5,3,0,0,4,0,0,3,0,3,2,0,0.8333333333333334,0.9090909090909091
2,3,1,4,2,1,1,3,1,2,1,1,3,4,1,2,3,0,4,2,0,1,3,0,2,1,0,3,4,0,0.9210526315789473,0.918918918918919
4,0,1,2,7,1,1,3,1,7,4,1,6,4,1,4,0,0,2,7,0,1,3,0,7,4,0,6,4,0,0.9166666666666666,0.9411764705882353
0,3,1,4,3,1,4,3,1,1,4,1,5,4,1,0,3,0,4,3,0,4,3,0,1,4,0,5,4,0,0.875,1.0
3,2,1,1,3,1,5,2,1,3,2,1,4,1,1,3,2,0,1,3,0,5,2,0,3,2,0,4,1,0,0.9777777777777777,0.9615384615384616
4,5,1,5,0,1,3,6,1,4,1,1,1,3,1,4,5,0,5,0,0,3,6,0,4,1,0,1,3,0,0.9655172413793104,0.8928571428571429
6,3,1,4,2,1,5,3,1,4,3,1,5,4,1,6,3,0,4,2,0,5,3,0,4,3,0,5,4,0,0.9259259259259259,0.9655172413793104
3,4,1,6,5,1,2,1,1,3,1,1,5,1,1,3,4,0,6,5,0,2,1,0,3,1,0,5,1,0,0.9117647058823529,0.8620689655172413
1,4,1,3,5,1,0,4,1,4,1,1,4,1,1,1,4,0,3,5,0,0,4,0,4,1,0,4,1,0,0.84,0.9032258064516129
2,3,1,4,1,1,6,3,1,2,4,1,2,4,1,2,3,0,4,1,0,6,3,0,2,4,0,2,4,0,0.9393939393939394,1.0
3,4,1,7,3,1,3,5,1,2,1,1,6,4,1,3,4,0,7,3,0,3,5,0,2,1,0,6,4,0,0.868421052631579,0.78125
5,4,1,5,0,1,3,1,1,0,2,1,4,6,1,5,4,0,5,0,0,3,1,0,0,2,0,4,6,0,0.868421052631579,0.9714285714285714
3,4,1,3,1,1,3,4,1,5,1,1,4,2,1,3,4,0,3,1,0,3,4,0,5,1,0,4,2,0,0.9696969696969697,0.7777777777777778
1,0,1,8,1,1,4,0,1,5,2,1,1,2,1,1,0,0,8,1,0,4,0,0,5,2,0,1,2,0,0.9047619047619048,0.9615384615384616
6,2,1,2,6,1,3,1,1,7,3,1,2,1,1,6,2,0,2,6,0,3,1,0,7,3,0,2,1,0,0.975,0.9130434782608695
5,2,1,3,5,1,4,6,1,5,2,1,4,2,1,5,2,0,3,5,0,4,6,0,5,2,0,4,2,0,0.8928571428571429,0.8461538461538461
6,2,1,7,4,1,2,6,1,3,2,1,3,1,1,6,2,0,7,4,0,2,6,0,3,2,0,3,1,0,0.8620689655172413,0.9714285714285714
7,2,1,3,2,1,2,1,1,1,3,1,4,3,1,7,2,0,3,2,0,2,1,0,1,3,0,4,3,0,0.8666666666666667,0.8571428571428571
3,1,1,5,3,1,4,3,1,2,3,1,7,1,1,3,1,0,5,3,0,4,3,0,2,3,0,7,1,0,0.8709677419354839,0.875
5,7,1,4,3,1,0,2,1,5,6,1,2,3,1,5,7,0,4,3,0,0,2,0,5,6,0,2,3,0,0.8571428571428571,0.9767441860465116
4,3,1,1,2,1,2,1,1,3,1,1,3,6,1,4,3,0,1,2,0,2,1,0,3,1,0,3,6,0,0.8333333333333334,0.925
1,3,1,1,3,1,2,5,1,3,4,1,2,1,1,1,3,0,1,3,0,2,5,0,3,4,0,2,1,0,0.9545454545454546,0.918918918918919
5,2,1,1,3,1,3,4,1,3,4,1,5,4,1,5,2,0,1,3,0,3,4,0,3,4,0,5,4,0,0.9615384615384616,0.9473684210526315
