game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,game6home,game6away,game6isHome,game7home,game7away,game7isHome,game8home,game8away,game8isHome,game9home,game9away,game9isHome,game10home,game10away,game10isHome,home_perc,away_perc
6,4,1,6,3,1,4,1,1,3,2,1,3,1,1,6,4,0,6,3,0,4,1,0,3,2,0,3,1,0,0.972972972972973,0.7727272727272727
4,3,1,1,2,1,3,2,1,1,6,1,7,2,1,4,3,0,1,2,0,3,2,0,1,6,0,7,2,0,1.0,0.9411764705882353
5,3,1,2,3,1,4,0,1,1,4,1,1,0,1,5,3,0,2,3,0,4,0,0,1,4,0,1,0,0,0.9142857142857143,0.9166666666666666
0,3,1,2,3,1,4,3,1,2,3,1,5,2,1,0,3,0,2,3,0,4,3,0,2,3,0,5,2,0,0.972972972972973,0.9583333333333334
4,5,1,2,3,1,3,2,1,5,3,1,6,3,1,4,5,0,2,3,0,3,2,0,5,3,0,6,3,0,0.8846153846153846,1.0
1,2,1,1,4,1,5,2,1,4,1,1,6,3,1,1,2,0,1,4,0,5,2,0,4,1,0,6,3,0,1.0,0.9
2,3,1,3,4,1,3,2,1,1,4,1,3,2,1,2,3,0,3,4,0,3,2,0,1,4,0,3,2,0,0.9411764705882353,0.9333333333333333
1,2,1,1,2,1,6,3,1,3,1,1,5,2,1,1,2,0,1,2,0,6,3,0,3,1,0,5,2,0,0.7692307692307693,0.7333333333333333
1,4,1,6,4,1,3,4,1,2,3,1,4,1,1,1,4,0,6,4,0,3,4,0,2,3,0,4,1,0,0.95,0.8928571428571429
3,2,1,3,2,1,4,3,1,2,3,1,5,4,1,3,2,0,3,2,0,4,3,0,2,3,0,5,4,0,0.9117647058823529,0.8974358974358975
2,1,1,3,2,1,1,4,1,3,1,1,2,1,1,2,1,0,3,2,0,1,4,0,3,1,0,2,1,0,0.8518518518518519,0.875
0,3,1,5,3,1,3,2,1,3,0,1,2,3,1,0,3,0,5,3,0,3,2,0,3,0,0,2,3,0,0.8888888888888888,0.8461538461538461
4,1,1,2,3,1,5,2,1,3,1,1,5,2,1,4,1,0,2,3,0,5,2,0,3,1,0,5,2,0,0.8928571428571429,0.9
2,3,1,2,5,1,3,4,1,2,1,1,3,0,1,2,3,0,2,5,0,3,4,0,2,1,0,3,0,0,0.972972972972973,0.88
2,5,1,4,5,1,3,4,1,4,1,1,3,2,1,2,5,0,4,5,0,3,4,0,4,1,0,3,2,0,1.0,0.8387096774193549
