game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,game6home,game6away,game6isHome,game7home,game7away,game7isHome,game8home,game8away,game8isHome,game9home,game9away,game9isHome,game10home,game10away,game10isHome,home_team_players,away_team_players
5,4,1,4,2,1,4,3,1,4,5,1,0,3,1,5,4,0,4,2,0,4,3,0,4,5,0,0,3,0,"[0.88888889 0.3        0.         0.         0.3        0.3
 0.         0.3        0.6        0.3        1.2        0.6
 1.8        0.9        0.6        0.        ]","[0.90909091 0.3        0.         0.3        0.9        0.3
 0.6        0.6        0.5        0.         1.1        0.3
 0.6        0.         1.3        0.3       ]"
6,4,1,3,2,1,2,5,1,3,5,1,3,4,1,6,4,0,3,2,0,2,5,0,3,5,0,3,4,0,[1.  1.3 1.1 0.3 0.3 0.3 0.  0.  0.6 0.  0.9 0.3 2.2 2.1 1.5 1.4],"[0.81818182 1.         1.3        0.3        0.8        0.
 1.1        1.8        1.6        0.3        2.1        0.3
 0.3        1.1        0.9        0.3       ]"
6,4,1,2,1,1,1,2,1,6,3,1,0,2,1,6,4,0,2,1,0,1,2,0,6,3,0,0,2,0,[1.  0.  0.3 0.3 0.3 0.  0.3 0.3 0.  0.  0.6 0.3 1.2 0.3 1.2 0. ],"[0.94444444 0.9        0.3        0.         0.         0.
 0.         0.6        0.3        0.6        1.4        1.
 0.         0.         1.8        0.        ]"
4,2,1,4,3,1,3,4,1,4,2,1,1,2,1,4,2,0,4,3,0,3,4,0,4,2,0,1,2,0,"[0.94285714 0.         0.         0.3        0.         0.6
 2.2        0.9        0.6        0.3        0.3        1.2
 0.6        0.3        0.9        1.4       ]","[0.85 1.   0.   1.1  0.5  1.   1.8  1.   2.   1.1  1.3  0.3  1.4  0.3
 0.6  1.1 ]"
2,4,1,2,0,1,3,2,1,3,4,1,4,2,1,2,4,0,2,0,0,3,2,0,3,4,0,4,2,0,[1.  0.5 0.  1.1 0.5 0.3 1.  2.4 1.3 1.  1.8 0.  0.6 0.3 0.3 0.6],"[0.90909091 0.         0.         0.         1.3        0.6
 0.9        1.6        0.         1.         2.3        1.8
 0.3        0.3        0.6        0.        ]"
1,6,1,3,4,1,1,3,1,0,5,1,3,4,1,1,6,0,3,4,0,1,3,0,0,5,0,3,4,0,"[0.94594595 0.         0.         0.         0.3        0.
 0.3        0.3        0.3        1.8        0.6        0.5
 1.9        0.3        2.4        1.1       ]","[0.875 0.    0.    0.    0.9   1.7   0.6   0.    0.    0.6   1.1   0.9
 0.    0.3   1.3   0.3  ]"
2,3,1,3,4,1,0,2,1,6,4,1,2,1,1,2,3,0,3,4,0,0,2,0,6,4,0,2,1,0,"[0.83333333 0.         0.         0.3        1.1        0.3
 0.9        0.3        0.9        0.8        1.4        0.3
 1.3        0.6        0.6        0.3       ]","[0.84090909 0.         0.9        0.6        0.3        0.3
 0.         0.6        1.2        0.3        0.3        1.5
 0.3        0.6        0.         0.6       ]"
3,1,1,2,1,1,2,4,1,4,5,1,2,1,1,3,1,0,2,1,0,2,4,0,4,5,0,2,1,0,"[0.80952381 0.         0.         0.         0.3        0.
 0.         0.6        0.3        0.         0.         0.3
 2.         0.         0.         2.5       ]","[0.97222222 0.9        0.         0.3        0.         0.
 1.         0.         0.3        0.8        0.         0.6
 0.3        1.1        0.5        1.1       ]"
2,4,1,3,4,1,3,1,1,1,2,1,7,6,1,2,4,0,3,4,0,3,1,0,1,2,0,7,6,0,"[0.82758621 0.5        0.3        1.1        0.6        1.
 2.5        0.9        0.9        1.         1.3        2.9
 0.3        1.7        1.6        2.3       ]","[0.95454545 0.3        0.         1.6        0.         1.1
 0.3        1.1        0.9        1.5        1.6        1.6
 0.6        0.6        1.2        0.        ]"
5,0,1,5,4,1,3,2,1,4,5,1,3,6,1,5,0,0,5,4,0,3,2,0,4,5,0,3,6,0,"[0.94285714 0.3        0.         0.         0.         0.3
 0.         0.         0.         0.3        1.4        1.3
 0.         0.         1.6        3.        ]","[0.94871795 0.3        0.5        0.         1.5        0.3
 0.6        0.3        0.         0.3        0.9        1.3
 0.6        0.         1.1        2.2       ]"
5,2,1,4,1,1,4,2,1,3,2,1,4,0,1,5,2,0,4,1,0,4,2,0,3,2,0,4,0,0,"[0.96153846 0.6        0.         0.3        0.3        0.
 0.         1.         1.7        0.3        0.9        2.7
 0.3        0.         0.         3.        ]","[0.92857143 0.         0.         1.2        0.         0.9
 0.3        0.3        0.         0.3        0.6        0.
 0.3        0.6        0.6        0.3       ]"
2,1,1,4,1,1,5,2,1,2,1,1,5,1,1,2,1,0,4,1,0,5,2,0,2,1,0,5,1,0,"[0.71428571 0.5        0.         0.3        0.5        1.6
 1.6        0.         1.         0.3        0.         3.6
 0.3        0.         0.         0.6       ]","[0.79310345 0.3        0.3        0.6        0.6        0.
 0.         0.9        0.3        0.         1.3        0.6
 0.3        0.3        0.9        0.3       ]"
3,2,1,2,3,1,6,0,1,4,1,1,3,2,1,3,2,0,2,3,0,6,0,0,4,1,0,3,2,0,"[0.9375 1.3    0.9    1.     0.9    0.5    0.5    1.3    0.3    0.6
 0.     0.3    0.5    0.3    0.8    1.5   ]","[0.94871795 0.8        0.8        0.3        2.         1.3
 1.1        1.         0.         1.7        3.         0.5
 0.6        1.4        0.5        0.6       ]"
3,0,1,5,2,1,5,3,1,4,1,1,4,2,1,3,0,0,5,2,0,5,3,0,4,1,0,4,2,0,"[0.9375 0.6    0.     0.6    1.6    1.9    0.5    0.6    0.5    2.
 0.3    1.5    0.8    2.4    0.3    0.3   ]","[0.84375 0.      0.      0.      1.6     0.3     1.4     0.6     1.1
 1.2     0.3     1.6     1.7     1.1     1.7     0.3    ]"
3,5,1,4,2,1,5,2,1,2,3,1,3,4,1,3,5,0,4,2,0,5,2,0,2,3,0,3,4,0,"[0.95121951 0.3        0.         0.         1.1        1.3
 2.         0.3        1.6        1.7        0.9        0.6
 0.5        1.9        1.7        0.3       ]","[0.89285714 0.3        0.6        0.3        0.3        0.6
 0.8        0.6        1.5        0.3        1.         0.9
 1.6        0.         0.3        0.        ]"
5,2,1,3,4,1,4,3,1,1,2,1,2,1,1,5,2,0,3,4,0,4,3,0,1,2,0,2,1,0,"[0.87804878 0.3        0.9        0.6        0.9        0.9
 1.5        0.         0.8        0.6        0.3        1.4
 0.6        0.9        0.9        2.9       ]","[0.8974359 0.3       0.        0.6       0.        0.3       0.3
 0.6       0.9       0.5       0.3       0.6       1.7       2.7
 0.        4.       ]"
4,1,1,4,1,1,1,3,1,0,1,1,1,5,1,4,1,0,4,1,0,1,3,0,0,1,0,1,5,0,"[0.79411765 0.3        1.         0.         0.9        0.8
 0.         0.9        0.         0.6        0.3        0.
 0.3        0.         0.3        0.3       ]","[0.91666667 0.         0.8        0.3        1.6        0.3
 0.         1.4        0.         0.3        0.         1.2
 0.6        2.6        2.6        0.        ]"
0,1,1,1,4,1,3,1,1,1,2,1,4,5,1,0,1,0,1,4,0,3,1,0,1,2,0,4,5,0,[1.  0.3 0.  0.  0.3 0.3 0.  0.  0.3 1.6 1.9 2.8 1.1 0.6 1.8 2.2],"[0.83333333 0.         0.3        0.9        0.6        0.6
 0.3        0.6        0.8        1.9        0.3        0.6
 0.8        0.3        1.1        1.3       ]"
1,2,1,4,5,1,2,3,1,5,3,1,3,6,1,1,2,0,4,5,0,2,3,0,5,3,0,3,6,0,"[0.84375 0.6     0.      0.      0.3     0.6     0.      0.3     0.6
 1.1     1.3     1.6     2.3     1.6     0.3     0.     ]","[0.96666667 0.5        1.         0.6        0.3        0.3
 0.8        1.2        0.3        0.6        0.6        0.
 2.4        0.3        2.2        0.3       ]"
0,6,1,2,3,1,5,4,1,3,2,1,5,1,1,0,6,0,2,3,0,5,4,0,3,2,0,5,1,0,"[0.88461538 0.6        0.3        1.3        0.5        0.3
 1.7        1.3        1.3        1.1        0.         0.
 0.6        1.6        1.3        2.5       ]","[0.97560976 0.3        0.9        0.3        0.         0.
 0.6        0.         0.3        0.6        2.3        1.6
 1.         2.8        0.3        0.6       ]"
4,5,1,3,4,1,0,4,1,4,1,1,2,4,1,4,5,0,3,4,0,0,4,0,4,1,0,2,4,0,"[0.91666667 0.3        0.         0.3        1.6        0.6
 0.3        0.         0.         0.5        1.9        2.
 0.         0.         0.6        0.5       ]","[0.96969697 0.9        0.         0.3        0.8        1.8
 2.1        0.5        1.9        0.         0.3        1.9
 0.6        0.         0.8        1.6       ]"
5,2,1,1,3,1,5,4,1,3,2,1,7,1,1,5,2,0,1,3,0,5,4,0,3,2,0,7,1,0,"[0.88461538 0.8        1.3        2.6        1.8        0.6
 1.9        0.5        0.         3.         0.9        1.1
 0.8        1.7        1.7        1.1       ]","[0.85714286 0.         1.3        0.3        0.3        0.3
 1.6        0.6        0.         1.4        1.4        1.1
 0.         1.5        0.6        1.        ]"
3,4,1,2,1,1,4,0,1,4,2,1,2,3,1,3,4,0,2,1,0,4,0,0,4,2,0,2,3,0,[1.  0.3 0.  0.  0.  0.  0.6 0.3 0.3 1.  0.  1.1 0.3 2.4 1.4 0. ],"[0.875 0.    0.    1.5   0.6   1.5   0.    0.3   0.5   0.3   0.    0.9
 1.1   0.6   0.6   0.3  ]"
0,1,1,1,3,1,2,3,1,2,1,1,3,2,1,0,1,0,1,3,0,2,3,0,2,1,0,3,2,0,"[0.875 0.3   0.    0.6   0.8   0.6   0.3   1.1   0.    0.    0.9   0.8
 2.9   1.7   0.8   2.5  ]",[0.9 1.2 0.3 1.1 0.9 0.9 0.  0.9 1.2 2.5 0.9 0.  0.  0.9 1.9 0.3]
4,3,1,2,3,1,3,1,1,1,2,1,0,5,1,4,3,0,2,3,0,3,1,0,1,2,0,0,5,0,"[0.9047619 0.        0.        0.        0.3       0.6       1.2
 0.3       0.9       0.6       0.9       0.6       0.6       0.3
 0.9       0.3      ]","[0.90909091 0.         0.         0.3        0.         0.
 0.6        0.6        0.         0.         0.6        0.
 0.         0.         0.6        0.3       ]"
4,0,1,0,1,1,1,2,1,5,6,1,6,2,1,4,0,0,0,1,0,1,2,0,5,6,0,6,2,0,"[0.95238095 0.3        1.3        0.9        0.5        1.3
 0.3        1.3        0.3        0.8        1.         1.9
 2.2        2.2        1.6        0.        ]","[0.96428571 2.2        1.2        1.2        0.         1.1
 0.3        0.3        1.8        0.3        0.         0.6
 0.3        0.9        0.6        0.3       ]"
1,2,1,2,5,1,2,3,1,1,3,1,5,3,1,1,2,0,2,5,0,2,3,0,1,3,0,5,3,0,[1.  0.5 0.6 1.5 1.1 1.6 0.8 0.3 0.8 1.5 0.3 1.6 0.9 0.3 0.3 3.1],"[0.89655172 0.         0.3        0.3        0.         0.
 0.         0.6        0.3        0.         0.3        1.3
 1.8        1.8        0.5        2.4       ]"
