,game_id,season,time,home_scored,home_conceded,home_win,home_percentage,home_id,away_scored,away_conceded,away_win,away_percentage,away_id
11078,2010020001,20102011,2010-10-07 23:00:00+00:00,0,0,0,50,10,0,0,0,50,8
10725,2010020002,20102011,2010-10-07 23:00:00+00:00,0,0,0,50,5,0,0,0,50,4
9625,2010020003,20102011,2010-10-07 16:00:00+00:00,0,0,0,50,30,0,0,0,50,12
10256,2010020004,20102011,2010-10-08 02:00:00+00:00,0,0,0,50,21,0,0,0,50,16
10673,2010020005,20102011,2010-10-08 02:00:00+00:00,0,0,0,50,22,0,0,0,50,20
9315,2010020006,20102011,2010-10-08 19:00:00+00:00,0,0,0,50,29,0,0,0,50,28
9779,2010020007,20102011,2010-10-08 23:00:00+00:00,0,0,0,50,1,0,0,0,50,25
10295,2010020008,20102011,2010-10-08 16:00:00+00:00,0,0,0,50,12,0,0,0,50,30
9686,2010020009,20102011,2010-10-08 23:30:00+00:00,0,0,0,50,17,0,0,0,50,24
9276,2010020010,20102011,2010-10-08 23:30:00+00:00,0,0,0,50,9,0,0,0,50,7
10444,2010020012,20102011,2010-10-09 16:00:00+00:00,0,0,0,50,6,0,0,0,50,27
9421,2010020013,20102011,2010-10-09 23:00:00+00:00,0,0,0,50,7,0,0,0,50,3
10808,2010020014,20102011,2010-10-09 23:00:00+00:00,3,2,1,94.44444444444444,10,0,0,0,50,9
9307,2010020015,20102011,2010-10-09 23:00:00+00:00,0,0,0,50,2,4,3,1,91.48936170212765,25
10570,2010020016,20102011,2010-10-09 23:00:00+00:00,2,3,0,88.88888888888889,5,2,3,0,94.73684210526315,8
10844,2010020017,20102011,2010-10-09 23:00:00+00:00,0,0,0,50,15,0,0,0,50,1
9757,2010020018,20102011,2010-10-09 23:30:00+00:00,0,0,0,50,14,0,0,0,50,11
8740,2010020019,20102011,2010-10-10 00:00:00+00:00,0,0,0,50,19,3,2,1,92.0,4
10806,2010020020,20102011,2010-10-10 00:00:00+00:00,0,0,0,50,18,0,4,0,91.83673469387756,24
8880,2010020021,20102011,2010-10-10 00:30:00+00:00,0,0,0,50,16,0,0,0,50,17
10332,2010020022,20102011,2010-10-09 19:00:00+00:00,0,0,0,50,28,0,0,0,50,29
10274,2010020023,20102011,2010-10-10 02:00:00+00:00,0,0,0,50,23,0,0,0,50,26
